ML_sector;Field_sector
NLP / Text;Human Sciences
Computer Vision;Other
Computer Vision;Healthcare / Biology
Computer Vision;Other
Computer Vision;Other
Computer Vision;Other
NLP / Text;Other
Computer Vision;Healthcare / Biology
ML / AutoML / HPO / NAS;Other
Computer Vision;Other
Computer Vision;Other
Computer Vision;Other
NLP / Text;Healthcare / Biology
Computer Vision;Other
NLP / Text;Human Sciences
NLP / Text,Computer Vision;Other
NLP / Text;Human Sciences
NLP / Text;Human Sciences
NLP / Text;Human Sciences
Computer Vision;Other
Computer Vision;Healthcare / Biology
NLP / Text;Human Sciences
Computer Vision;Other
Computer Vision;Other
NLP / Text;E-commerce / Retail / Finance
NLP / Text,Computer Vision;E-commerce / Retail / Finance
Computer Vision;Media / Social
Computer Vision;Media / Social
NLP / Text,Computer Vision;Media / Social
NLP / Text;Human Sciences
NLP / Text;Human Sciences
Computer Vision;Other
Computer Vision;Other
NLP / Text;Agriculture & Food
NLP / Text;Human Sciences
Computer Vision;Other
NLP / Text;E-commerce / Retail / Finance
Computer Vision;Healthcare / Biology
Time Series / Forecasting;Transportation & Mobility,Hard Sciences / Mathematics
NLP / Text;Other
Computer Vision;Other
NLP / Text;Other
NLP / Text,Computer Vision;Healthcare / Biology
NLP / Text,Computer Vision;Other
Speech / Audio;Healthcare / Biology
Computer Vision;Transportation & Mobility
Computer Vision;Transportation & Mobility
Computer Vision;Transportation & Mobility
NLP / Text;Human Sciences
NLP / Text;Human Sciences
Computer Vision;Other
Speech / Audio;Transportation & Mobility
NLP / Text;Human Sciences
NLP / Text;Human Sciences
Computer Vision;Other
Computer Vision;Transportation & Mobility
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
NLP / Text,Computer Vision;Media / Social
Computer Vision;Media / Social
NLP / Text,Computer Vision;Media / Social
NLP / Text;Human Sciences
Computer Vision;Other
Computer Vision;Other
Computer Vision;Other
NLP / Text;E-commerce / Retail / Finance
Computer Vision;Media / Social
NLP / Text;Healthcare / Biology
NLP / Text;Other
NLP / Text;Human Sciences,Media / Social
NLP / Text;Human Sciences
NLP / Text;Human Sciences
NLP / Text;Human Sciences
NLP / Text;Human Sciences
NLP / Text;Human Sciences
NLP / Text;Human Sciences
NLP / Text;Human Sciences
NLP / Text;Human Sciences
NLP / Text;Human Sciences
NLP / Text;Human Sciences
NLP / Text;Human Sciences
NLP / Text;Human Sciences
NLP / Text;Human Sciences
NLP / Text;Human Sciences
NLP / Text;Human Sciences
NLP / Text;Human Sciences
NLP / Text;Human Sciences
NLP / Text;Human Sciences
Computer Vision;Media / Social
NLP / Text;Media / Social
Computer Vision;Other
Computer Vision;Other
Computer Vision;Other
NLP / Text,Computer Vision;Other
Reinforcement Learning;Other
NLP / Text,Computer Vision;Other
NLP / Text,Computer Vision;Other
Computer Vision;Media / Social
NLP / Text,Computer Vision;Media / Social
NLP / Text;Other
Computer Vision;Other
NLP / Text;Other
NLP / Text;Other
NLP / Text;Human Sciences,Media / Social
Computer Vision;Other
Computer Vision;Other
Computer Vision;Other
Computer Vision;Other
NLP / Text;Media / Social
NLP / Text;Media / Social
Computer Vision;Other
NLP / Text;Healthcare / Biology
Computer Vision;Other
NLP / Text;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
ML / AutoML / HPO / NAS;Other
NLP / Text;E-commerce / Retail / Finance,Other
Computer Vision;Agriculture & Food
Computer Vision;Media / Social
NLP / Text,Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Healthcare / Biology
Computer Vision;Media / Social
Computer Vision;Media / Social
NLP / Text;Other
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
NLP / Text,Computer Vision;Media / Social
NLP / Text;Other
NLP / Text,Computer Vision;Robotics & Autonomous
NLP / Text;Other
NLP / Text;Other
NLP / Text;Climate / Energy
NLP / Text;Climate / Energy
NLP / Text;Healthcare / Biology
NLP / Text;E-commerce / Retail / Finance
Reinforcement Learning;Robotics & Autonomous
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
NLP / Text;Other
NLP / Text;Human Sciences,Media / Social
NLP / Text;Human Sciences,Media / Social
NLP / Text;Human Sciences
Computer Vision;Media / Social
Computer Vision;Media / Social
NLP / Text;Human Sciences,Media / Social
NLP / Text;Human Sciences,Media / Social
NLP / Text;Human Sciences,Media / Social
NLP / Text;Human Sciences,Media / Social
Computer Vision,Speech / Audio;Healthcare / Biology
NLP / Text;Human Sciences
Computer Vision;Media / Social
Computer Vision;Media / Social
NLP / Text;Human Sciences
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
NLP / Text;Human Sciences,Media / Social
ML / AutoML / HPO / NAS;Other
Computer Vision;E-commerce / Retail / Finance
Computer Vision;E-commerce / Retail / Finance
NLP / Text;Human Sciences
NLP / Text;Human Sciences
NLP / Text;Human Sciences
NLP / Text;Human Sciences
Computer Vision;Other
NLP / Text;Healthcare / Biology
NLP / Text;Climate / Energy
Computer Vision;Other
NLP / Text;Media / Social
NLP / Text;Media / Social
NLP / Text,Computer Vision;E-commerce / Retail / Finance
NLP / Text,Computer Vision;Other
Computer Vision;Other
Computer Vision;Healthcare / Biology
NLP / Text,Computer Vision;Other
Computer Vision;Other
Computer Vision;Robotics & Autonomous
Computer Vision;Robotics & Autonomous
Computer Vision;Healthcare / Biology
NLP / Text;Human Sciences
NLP / Text;E-commerce / Retail / Finance
Reinforcement Learning;Climate / Energy
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Media / Social
Computer Vision;Transportation & Mobility
Computer Vision;Media / Social
Computer Vision;Other
Computer Vision;Robotics & Autonomous
Computer Vision;Other
Computer Vision;Other
Computer Vision;Media / Social
Computer Vision;Media / Social
NLP / Text;Healthcare / Biology,Media / Social
NLP / Text;Healthcare / Biology,Media / Social
NLP / Text;Healthcare / Biology
NLP / Text;Other
